feature,importance,rank,cumulative_importance,method,feature_type,source_sensor_family
oil_pressure_bar,0.0004365112,64,0.9953607,Fitted tree importance,Original,Oil pressure
yaw_misalignment_deg,0.0003718438,65,0.99573255,Fitted tree importance,Original,Yaw misalignment
oil_particle_count_past_1h_std,0.00036496256,66,0.9960975,Fitted tree importance,Engineered,Oil particle count
drivetrain_vibration_rms_mmps_delta1,0.00034467567,67,0.9964422,Fitted tree importance,Engineered,Drivetrain vibration
generator_rotor_ratio,0.0003329933,68,0.9967752,Fitted tree importance,Engineered,Drivetrain speed
rotor_speed_rpm,0.0003252544,69,0.9971005,Fitted tree importance,Original,Drivetrain speed
main_bearing_temp_C_delta1,0.00031886317,70,0.99741936,Fitted tree importance,Engineered,Main-bearing temperature
generator_winding_temp_C_delta1,0.00030819103,71,0.9977276,Fitted tree importance,Engineered,Generator temperature
winding_bearing_temp_gap,0.00029016455,72,0.9980177,Fitted tree importance,Engineered,Generator temperature
wind_speed_mps,0.00028775504,73,0.9983055,Fitted tree importance,Original,Wind Speed Mps
generator_winding_temp_C,0.00027888454,74,0.9985844,Fitted tree importance,Original,Generator temperature
main_bearing_temp_C_lag1,0.0002744326,75,0.9988588,Fitted tree importance,Engineered,Main-bearing temperature
air_density_kgm3,0.00027077956,76,0.9991296,Fitted tree importance,Original,Air Density Kgm3
oil_pressure_bar_delta1,0.00024176933,77,0.99937135,Fitted tree importance,Engineered,Oil pressure
yaw_misalignment_sin,0.00023332097,78,0.99960464,Fitted tree importance,Engineered,Yaw misalignment
gearbox_bearing_temp_C_delta1,0.00023090749,79,0.99983555,Fitted tree importance,Engineered,Gearbox temperature
capacity_factor,0.00016473078,80,1.0000002,Fitted tree importance,Engineered,Power output
oil_particle_count_delta1,0.0,81,1.0000002,Fitted tree importance,Engineered,Oil particle count
high_pitch_state,0.0,82,1.0000002,Fitted tree importance,Engineered,High Pitch State
near_rated_operation,0.0,83,1.0000002,Fitted tree importance,Engineered,Power output
positive_power,0.0,84,1.0000002,Fitted tree importance,Engineered,Power output
below_cutin,0.0,85,1.0000002,Fitted tree importance,Engineered,Below Cutin
rotor_stopped,0.0,86,1.0000002,Fitted tree importance,Engineered,Drivetrain speed
rated_power_kW_2000,0.0,87,1.0000002,Fitted tree importance,Original,Rated power
rated_power_kW_3000,0.0,88,1.0000002,Fitted tree importance,Original,Rated power
rated_power_kW_3600,0.0,89,1.0000002,Fitted tree importance,Original,Rated power
